Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$ (won),12,5
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$$ (won),46,31
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,Pistol Won,,2
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,Eco (won),2,2
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,$ (won),3,1
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,$$ (won),3,2
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,$$$ (won),13,8
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Glory Once Again,Pistol Won,,0
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Glory Once Again,Eco (won),4,0
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Glory Once Again,$ (won),3,0
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Glory Once Again,$$ (won),1,1
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Glory Once Again,$$$ (won),13,7
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,TALON,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,TALON,Eco (won),2,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,TALON,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,TALON,$$ (won),4,3
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,TALON,$$$ (won),10,8
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,Rex Regum Qeon,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,Rex Regum Qeon,Eco (won),4,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,Rex Regum Qeon,$ (won),0,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,Rex Regum Qeon,$$ (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Bind,Rex Regum Qeon,$$$ (won),10,3
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,TALON,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,TALON,Eco (won),2,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,TALON,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,TALON,$$ (won),4,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,TALON,$$$ (won),13,9
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,Rex Regum Qeon,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,Rex Regum Qeon,Eco (won),4,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,Rex Regum Qeon,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$ (won),5,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$$ (won),10,5
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,TALON,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,TALON,Eco (won),4,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,TALON,$ (won),1,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,TALON,$$ (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,TALON,$$$ (won),15,8
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,Rex Regum Qeon,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,Rex Regum Qeon,Eco (won),3,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,Rex Regum Qeon,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,Rex Regum Qeon,$$ (won),3,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,Rex Regum Qeon,$$$ (won),16,9
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,Eco (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,$ (won),0,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,$$ (won),9,5
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,$$$ (won),7,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,Rex Regum Qeon,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,Rex Regum Qeon,Eco (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,Rex Regum Qeon,$ (won),0,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,Rex Regum Qeon,$$ (won),1,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,Rex Regum Qeon,$$$ (won),15,11
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,Eco (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,$$ (won),3,3
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,TALON,$$$ (won),19,8
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,Rex Regum Qeon,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,Rex Regum Qeon,Eco (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,Rex Regum Qeon,$ (won),1,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,Rex Regum Qeon,$$ (won),4,2
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Sunset,Rex Regum Qeon,$$$ (won),18,10
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,TALON,Pistol Won,,6
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,TALON,Eco (won),14,6
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,TALON,$ (won),4,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,TALON,$$ (won),23,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,TALON,$$$ (won),64,33
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Pistol Won,,4
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Eco (won),17,4
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$ (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$ (won),16,8
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$$ (won),69,38
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Paper Rex,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Paper Rex,Eco (won),3,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Paper Rex,$ (won),0,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Paper Rex,$$ (won),6,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Paper Rex,$$$ (won),11,9
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Rex Regum Qeon,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Rex Regum Qeon,Eco (won),3,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$ (won),2,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$$ (won),4,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Rex Regum Qeon,$$$ (won),11,5
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,Eco (won),2,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,$ (won),3,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,$$ (won),5,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Paper Rex,$$$ (won),9,4
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Rex Regum Qeon,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Rex Regum Qeon,Eco (won),3,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Rex Regum Qeon,$ (won),1,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Rex Regum Qeon,$$ (won),4,3
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Lotus,Rex Regum Qeon,$$$ (won),11,8
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,Eco (won),2,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,$$ (won),4,3
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Paper Rex,$$$ (won),13,8
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Rex Regum Qeon,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Rex Regum Qeon,Eco (won),5,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Rex Regum Qeon,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$ (won),3,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Haven,Rex Regum Qeon,$$$ (won),11,5
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,Pistol Won,,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,Eco (won),2,2
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,$$ (won),7,4
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Paper Rex,$$$ (won),11,7
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Rex Regum Qeon,Pistol Won,,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Rex Regum Qeon,Eco (won),5,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Rex Regum Qeon,$ (won),1,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Rex Regum Qeon,$$ (won),2,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,Rex Regum Qeon,$$$ (won),13,8
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Paper Rex,Pistol Won,,7
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Paper Rex,Eco (won),9,7
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Paper Rex,$ (won),5,0
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Paper Rex,$$ (won),22,10
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Paper Rex,$$$ (won),44,28
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Pistol Won,,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Rex Regum Qeon,Eco (won),16,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$ (won),5,1
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$ (won),13,7
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,All Maps,Rex Regum Qeon,$$$ (won),46,26
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,Pistol Won,,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,Eco (won),3,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,$ (won),3,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,$$ (won),3,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Team Heretics,$$$ (won),5,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Paper Rex,Pistol Won,,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Paper Rex,Eco (won),2,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Paper Rex,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Paper Rex,$$ (won),3,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,Paper Rex,$$$ (won),9,8
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,Pistol Won,,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,Eco (won),4,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,$ (won),3,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,$$ (won),1,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Team Heretics,$$$ (won),14,9
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Paper Rex,Pistol Won,,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Paper Rex,Eco (won),2,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Paper Rex,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Paper Rex,$$ (won),7,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,Paper Rex,$$$ (won),13,8
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Team Heretics,Pistol Won,,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Team Heretics,Eco (won),7,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Team Heretics,$ (won),6,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Team Heretics,$$ (won),4,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Team Heretics,$$$ (won),19,10
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Paper Rex,Pistol Won,,4
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Paper Rex,Eco (won),4,4
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Paper Rex,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Paper Rex,$$ (won),10,6
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Paper Rex,$$$ (won),22,16
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,Pistol Won,,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,Eco (won),2,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,$ (won),1,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,$$ (won),8,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Bilibili Gaming,$$$ (won),12,8
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Team Liquid,Pistol Won,,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Team Liquid,Eco (won),4,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Team Liquid,$ (won),1,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Team Liquid,$$ (won),1,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,Team Liquid,$$$ (won),17,9
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,Pistol Won,,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,Eco (won),4,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,$$ (won),3,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Bilibili Gaming,$$$ (won),23,12
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Team Liquid,Pistol Won,,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Team Liquid,Eco (won),2,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Team Liquid,$ (won),2,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Team Liquid,$$ (won),7,4
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,Team Liquid,$$$ (won),19,10
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,Pistol Won,,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,Eco (won),3,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,$$ (won),6,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Bilibili Gaming,$$$ (won),14,9
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Team Liquid,Pistol Won,,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Team Liquid,Eco (won),3,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Team Liquid,$ (won),2,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Team Liquid,$$ (won),5,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Sunset,Team Liquid,$$$ (won),13,6
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Bilibili Gaming,Pistol Won,,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Bilibili Gaming,Eco (won),9,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Bilibili Gaming,$ (won),1,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Bilibili Gaming,$$ (won),17,8
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Bilibili Gaming,$$$ (won),49,29
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Team Liquid,Pistol Won,,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Team Liquid,Eco (won),9,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Team Liquid,$ (won),5,2
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Team Liquid,$$ (won),13,6
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,All Maps,Team Liquid,$$$ (won),49,25
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,Pistol Won,,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,Eco (won),3,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,$ (won),0,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,$$ (won),5,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Sentinels,$$$ (won),16,9
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Wolves Esports,Pistol Won,,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Wolves Esports,Eco (won),3,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Wolves Esports,$ (won),1,0
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Wolves Esports,$$ (won),8,7
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Split,Wolves Esports,$$$ (won),12,3
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Lotus,Sentinels,Pistol Won,,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Lotus,Sentinels,Eco (won),3,1
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Lotus,Sentinels,$ (won),1,0
