Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,Eco (won),2,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,$ (won),0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,$$$ (won),15,8
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,Eco (won),3,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,$$ (won),5,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,$$$ (won),14,6
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,$ (won),2,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,$$ (won),2,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,$$$ (won),16,10
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,Eco (won),7,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,$ (won),2,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,$$ (won),11,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,$$$ (won),24,13
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,Pistol Won,,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,Eco (won),5,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,$ (won),2,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,$$ (won),6,4
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,$$$ (won),31,18
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Eco (won),2,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,$ (won),2,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,$$ (won),4,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,$$$ (won),21,9
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,Eco (won),4,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,$$ (won),4,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,$$$ (won),20,15
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Eco (won),4,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,$ (won),1,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,$$$ (won),21,10
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,Eco (won),3,3
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,$ (won),4,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,$$$ (won),19,9
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Eco (won),6,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,$ (won),3,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,$$ (won),8,5
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,$$$ (won),42,19
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,Eco (won),7,3
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,$ (won),5,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,$$ (won),8,4
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,$$$ (won),39,24
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,Eco (won),4,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,$ (won),3,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,$$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,$$$ (won),15,9
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,Eco (won),2,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,$ (won),2,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,$$ (won),5,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,$$$ (won),14,9
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,Eco (won),2,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,$ (won),2,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,$$ (won),9,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,$$$ (won),10,5
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,$$$ (won),15,9
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,Eco (won),6,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,$ (won),5,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,$$ (won),10,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,$$$ (won),25,14
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,Pistol Won,,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,Eco (won),5,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,$ (won),3,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,$$ (won),9,5
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,$$$ (won),29,18
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,Eco (won),3,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,$$ (won),5,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,$$$ (won),6,2
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,Eco (won),2,2
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,$ (won),0,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,$$ (won),5,4
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,$$$ (won),8,7
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,Pistol Won,,0
