Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,12,Team Heretics,,21.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,12,Paper Rex,,1.0k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,13,Team Heretics,,0.3k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,13,Paper Rex,,0.3k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,14,Team Heretics,,8.0k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,14,Paper Rex,,4.0k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,15,Team Heretics,,0.7k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,15,Paper Rex,,10.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,16,Team Heretics,,8.0k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,16,Paper Rex,,16.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,17,Team Heretics,,2.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,17,Paper Rex,,14.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,18,Team Heretics,,8.7k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,18,Paper Rex,,24.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,19,Team Heretics,,3.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,19,Paper Rex,,33.8k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,20,Team Heretics,,7.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,20,Paper Rex,,20.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,21,Team Heretics,,3.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,21,Paper Rex,,13.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,22,Team Heretics,,0.7k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,22,Paper Rex,,17.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,1,Bilibili Gaming,,0.2k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,1,Team Liquid,,0.2k,Eco: 0-5k,Loss
