Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Xi Lai Gaming,Midi,breach,1,,,,,,,,,42,6,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Xi Lai Gaming,happywei,cypher,2,,,,1,,,,,47,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Sentinels,Zellsis,vyse,4,1,,,1,,,,,68,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Sentinels,johnqt,viper,3,1,,,,,,,,83,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Sentinels,bang,omen,5,,1,,,1,,,,52,0,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Sentinels,zekken,raze,4,1,,,,,,,,49,0,4
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Lotus,Sentinels,N4RRATE,fade,2,,,,,,,,,58,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Rex Regum Qeon,crazyguy,"kayo, omen",4,,,,,,,,,34,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Rex Regum Qeon,Kushy,sova,8,1,1,,2,,,,,49,8,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Rex Regum Qeon,xffero,"cypher, killjoy",2,2,,,,,,,,48,3,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Rex Regum Qeon,Monyet,"omen, viper",7,2,,,,,,,,55,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Rex Regum Qeon,Jemkin,jett,4,3,1,,,,,,,61,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Wolves Esports,Juicy,"jett, yoru",5,4,,,,,,,,70,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Wolves Esports,SiuFatBB,sova,6,1,,,2,,1,,,47,5,2
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Wolves Esports,Yuicaw,"cypher, gekko",5,1,1,,,,,,,46,7,2
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Wolves Esports,Spring,"omen, viper",5,2,,,,,,,,58,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,All Maps,Wolves Esports,Lysoar,"deadlock, killjoy",6,,1,,,,,,,54,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,crazyguy,kayo,1,,,,,,,,,40,3,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,Kushy,sova,7,,1,,1,,,,,59,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,xffero,cypher,,2,,,,,,,,41,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,Monyet,omen,4,1,,,,,,,,51,3,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Rex Regum Qeon,Jemkin,jett,1,2,,,,,,,,51,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Wolves Esports,Juicy,yoru,3,1,,,,,,,,64,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Wolves Esports,SiuFatBB,sova,4,1,,,,,1,,,56,4,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Wolves Esports,Yuicaw,cypher,3,,1,,,,,,,45,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Wolves Esports,Spring,omen,3,,,,,,,,,60,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Ascent,Wolves Esports,Lysoar,deadlock,2,,,,,,,,,30,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,crazyguy,omen,3,,,,,,,,,28,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,Kushy,sova,1,1,,,1,,,,,39,6,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,xffero,killjoy,2,,,,,,,,,54,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,Monyet,viper,3,1,,,,,,,,59,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Rex Regum Qeon,Jemkin,jett,3,1,1,,,,,,,71,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Wolves Esports,Juicy,jett,2,3,,,,,,,,76,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Wolves Esports,SiuFatBB,sova,2,,,,2,,,,,38,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Wolves Esports,Yuicaw,gekko,2,1,,,,,,,,46,5,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Wolves Esports,Spring,viper,2,2,,,,,,,,55,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Icebox,Wolves Esports,Lysoar,killjoy,4,,1,,,,,,,77,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,FNATIC,crashies,"fade, sova",9,2,1,,,1,,,,58,10,3
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,FNATIC,Boaster,"astra, omen",5,,,,1,,,,,33,7,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,FNATIC,Chronicle,"cypher, viper",9,1,1,,1,,,,,56,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,FNATIC,kaajak,"neon, yoru",9,4,,,1,,,,,60,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,FNATIC,Alfajer,"cypher, iso, raze",13,1,,,,,,,,47,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Gen.G,Munchkin,viper,7,4,1,,1,,,,,50,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Gen.G,t3xture,neon,12,5,1,,2,1,1,,,57,2,3
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Gen.G,Foxy9,"deadlock, killjoy",4,3,1,,1,,,,,39,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Gen.G,Ash,"sova, tejo",5,3,1,,,,1,,,48,18,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,All Maps,Gen.G,Karon,omen,7,3,,,,,,,,44,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,FNATIC,crashies,sova,5,1,,,,,,,,68,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,FNATIC,Boaster,omen,1,,,,,,,,,33,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,FNATIC,Chronicle,cypher,3,1,,,,,,,,58,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,FNATIC,kaajak,yoru,7,1,,,,,,,,63,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,FNATIC,Alfajer,iso,1,,,,,,,,,30,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,Gen.G,Munchkin,viper,3,4,,,,,,,,64,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,Gen.G,t3xture,neon,4,1,1,,1,,,,,46,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,Gen.G,Foxy9,killjoy,1,,,,,,,,,33,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,Gen.G,Ash,sova,,,1,,,,1,,,48,5,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Haven,Gen.G,Karon,omen,3,1,,,,,,,,53,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,FNATIC,crashies,fade,1,1,1,,,1,,,,44,8,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,FNATIC,Boaster,astra,3,,,,,,,,,33,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,FNATIC,Chronicle,viper,3,,1,,1,,,,,63,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,FNATIC,kaajak,yoru,,3,,,1,,,,,57,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,FNATIC,Alfajer,raze,7,1,,,,,,,,59,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,Gen.G,Munchkin,viper,3,,1,,1,,,,,48,2,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,Gen.G,t3xture,neon,4,1,,,,1,1,,,44,0,2
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,Gen.G,Foxy9,deadlock,1,1,,,,,,,,21,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,Gen.G,Ash,tejo,4,2,,,,,,,,47,8,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Split,Gen.G,Karon,omen,3,2,,,,,,,,51,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,crashies,sova,3,,,,,,,,,61,0,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,Boaster,omen,1,,,,1,,,,,32,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,Chronicle,viper,3,,,,,,,,,47,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,kaajak,neon,2,,,,,,,,,61,1,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,FNATIC,Alfajer,cypher,5,,,,,,,,,51,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Gen.G,Munchkin,viper,1,,,,,,,,,39,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Gen.G,t3xture,neon,4,3,,,1,,,,,82,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Gen.G,Foxy9,deadlock,2,2,1,,1,,,,,64,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Gen.G,Ash,sova,1,1,,,,,,,,49,5,0
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,Sunset,Gen.G,Karon,omen,1,,,,,,,,,27,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,Xi Lai Gaming,coconut,"omen, viper",4,1,,,1,,,,,29,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,Xi Lai Gaming,Rarga,"jett, yoru",7,1,,1,,,,,,62,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,Xi Lai Gaming,Viva,sova,3,,1,,,,,,,41,5,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,Xi Lai Gaming,Midi,"breach, gekko",2,1,,,,,,,,36,11,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,Xi Lai Gaming,happywei,"cypher, killjoy",6,1,,,,,1,,,52,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,G2 Esports,valyn,omen,3,,,,,,,,,34,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,G2 Esports,jawgemo,"sage, yoru",5,5,,,,,,,,62,3,3
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,G2 Esports,JonahP,viper,6,2,,,,,,,,53,1,3
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,G2 Esports,leaf,"killjoy, vyse",12,2,,,2,3,,,,92,2,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,G2 Esports,trent,"fade, sova",7,,,,,,,,,69,3,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,Xi Lai Gaming,coconut,viper,1,1,,,,,,,,30,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,Xi Lai Gaming,Rarga,jett,4,,,,,,,,,51,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,Xi Lai Gaming,Viva,sova,2,,,,,,,,,42,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,Xi Lai Gaming,Midi,gekko,,,,,,,,,,29,8,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,Xi Lai Gaming,happywei,killjoy,1,1,,,,,1,,,38,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,G2 Esports,valyn,omen,1,,,,,,,,,17,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,G2 Esports,jawgemo,sage,3,2,,,,,,,,71,2,3
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,G2 Esports,JonahP,viper,4,,,,,,,,,62,0,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,G2 Esports,leaf,killjoy,5,2,,,1,,,,,106,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,G2 Esports,trent,sova,4,,,,,,,,,98,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,coconut,omen,3,,,,1,,,,,28,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,Rarga,yoru,3,1,,1,,,,,,73,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,Viva,sova,1,,1,,,,,,,39,3,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,Midi,breach,2,1,,,,,,,,42,3,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,Xi Lai Gaming,happywei,cypher,5,,,,,,,,,65,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,valyn,omen,2,,,,,,,,,50,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,jawgemo,yoru,2,3,,,,,,,,52,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,JonahP,viper,2,2,,,,,,,,44,1,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,leaf,vyse,7,,,,1,3,,,,77,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Haven,G2 Esports,trent,fade,3,,,,,,,,,40,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,Rex Regum Qeon,crazyguy,"fade, kayo, omen",8,,,,,1,,,1.0,46,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,Rex Regum Qeon,Kushy,"sova, vyse",4,,1,,,,,,,41,7,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,Rex Regum Qeon,xffero,"cypher, viper",5,3,,,,1,,,,51,4,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,Rex Regum Qeon,Monyet,"neon, omen",6,4,,,,,,,,51,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,Rex Regum Qeon,Jemkin,"jett, raze, yoru",3,2,,,,,,,,44,4,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,FNATIC,crashies,"fade, sova",7,2,,,1,,,,,66,5,3
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,FNATIC,Boaster,omen,4,1,,,,,,,,42,6,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,FNATIC,Chronicle,"cypher, viper, vyse",9,2,1,,1,1,,,,71,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,FNATIC,kaajak,"raze, yoru",9,5,,,,,,,,71,2,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,FNATIC,Alfajer,"chamber, iso, killjoy",7,1,3,,,,,,,57,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,crazyguy,fade,4,,,,,1,,,,47,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,Kushy,vyse,1,,,,,,,,,28,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,xffero,viper,2,,,,,,,,,46,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,Monyet,omen,2,1,,,,,,,,55,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,Rex Regum Qeon,Jemkin,raze,,,,,,,,,,25,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,FNATIC,crashies,fade,1,2,,,1,,,,,68,0,2
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,FNATIC,Boaster,omen,1,,,,,,,,,54,3,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,FNATIC,Chronicle,viper,4,1,,,,,,,,104,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,FNATIC,kaajak,raze,2,3,,,,,,,,94,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,FNATIC,Alfajer,killjoy,3,,,,,,,,,57,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,crazyguy,omen,1,,,,,,,,1.0,55,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,Kushy,sova,,,1,,,,,,,36,4,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,xffero,cypher,3,1,,,,,,,,50,3,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,Monyet,neon,3,3,,,,,,,,61,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,Rex Regum Qeon,Jemkin,yoru,3,2,,,,,,,,75,4,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,FNATIC,crashies,sova,4,,,,,,,,,79,1,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,FNATIC,Boaster,omen,1,,,,,,,,,18,3,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,FNATIC,Chronicle,cypher,2,,1,,1,,,,,51,0,1
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,FNATIC,kaajak,yoru,4,,,,,,,,,55,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,FNATIC,Alfajer,iso,2,,,,,,,,,49,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,crazyguy,kayo,3,,,,,,,,,37,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,Kushy,sova,3,,,,,,,,,59,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,xffero,cypher,,2,,,,1,,,,56,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,Monyet,omen,1,,,,,,,,,37,1,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,Jemkin,jett,,,,,,,,,,33,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,FNATIC,crashies,sova,2,,,,,,,,,52,4,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,FNATIC,Boaster,omen,2,1,,,,,,,,55,0,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,FNATIC,Chronicle,vyse,3,1,,,,1,,,,57,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,FNATIC,kaajak,yoru,3,2,,,,,,,,65,2,0
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,FNATIC,Alfajer,chamber,2,1,3,,,,,,,64,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Wolves Esports,Juicy,"raze, yoru",2,1,,,1,,,,,40,0,1
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Wolves Esports,SiuFatBB,"fade, sova",5,,,,2,1,,,,62,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Wolves Esports,Yuicaw,"cypher, raze",9,2,,,,,,,,58,2,2
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Wolves Esports,Spring,"omen, viper",9,2,,,1,,,,,75,6,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Wolves Esports,Lysoar,"cypher, omen",9,,,,,,,,,56,2,1
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Gen.G,Munchkin,viper,5,,,,,,,,,42,1,1
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Gen.G,t3xture,neon,6,3,2,,,,,,,58,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Gen.G,Foxy9,deadlock,4,1,1,,1,,,,,33,5,1
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Gen.G,Ash,"sova, tejo",3,,1,,,,,,,42,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,All Maps,Gen.G,Karon,omen,7,1,1,,1,,,,,53,4,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,Wolves Esports,Juicy,raze,1,1,,,,,,,,38,0,0
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,Wolves Esports,SiuFatBB,fade,1,,,,1,,,,,42,1,0
