Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,4,2,2,,Evil Geniuses,13,3,10,,53:00
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Pearl,KRÜ Esports,7,2,5,,Evil Geniuses,13,3,10,,50:32
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Haven,Mega Minors,6,6,0,,MIBR,13,7,6,,49:42
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Icebox,Mega Minors,5,3,2,,MIBR,13,4,9,,41:04
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Icebox,G2 Esports,13,8,5,,Cloud9,5,1,4,,48:28
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Haven,G2 Esports,4,3,1,,Cloud9,13,4,9,,35:56
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Pearl,G2 Esports,13,7,6,,Cloud9,11,6,5,,55:53
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Icebox,MIBR,13,9,4,,FURIA,3,0,3,,49:18
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Ascent,MIBR,9,2,7,,FURIA,13,3,10,,45:32
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Split,MIBR,13,7,6,,FURIA,8,3,5,,44:36
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Haven,Sentinels,13,9,4,,2Game Esports,4,1,3,,53:37
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Pearl,Sentinels,13,8,5,,2Game Esports,5,1,4,,47:59
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Fracture,KRÜ Esports,13,6,7,,100 Thieves,10,4,6,,49:14
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Icebox,KRÜ Esports,13,6,7,,100 Thieves,9,3,6,,50:50
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Lotus,Evil Geniuses,11,6,5,,LOUD,13,7,6,,1:02:10
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Pearl,Evil Geniuses,14,6,6,2,LOUD,12,6,6,0,1:19:08
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Split,Evil Geniuses,13,4,9,,LOUD,11,3,8,,57:18
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Fracture,LEVIATÁN,13,7,5,1,Mega Minors,15,7,5,3,1:01:26
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Icebox,LEVIATÁN,8,6,2,,Mega Minors,13,7,6,,44:28
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Split,MIBR,13,7,6,,100 Thieves,10,5,5,,1:06:50
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Icebox,MIBR,13,9,4,,100 Thieves,4,1,3,,37:57
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Ascent,Sentinels,13,9,4,,Cloud9,9,6,3,,57:32
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,Sentinels,13,9,4,,Cloud9,9,6,3,,1:30:48
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Fracture,100 Thieves,13,8,5,,Mega Minors,5,1,4,,55:46
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,100 Thieves,13,4,9,,Mega Minors,11,3,8,,52:32
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Fracture,Cloud9,9,4,5,,Evil Geniuses,13,5,8,,57:18
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Icebox,Cloud9,13,7,5,1,Evil Geniuses,15,7,5,3,1:06:17
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Lotus,KRÜ Esports,8,4,4,,MIBR,13,5,8,,58:52
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Icebox,KRÜ Esports,5,3,2,,MIBR,13,4,9,,36:49
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Split,G2 Esports,13,8,5,,Sentinels,5,1,4,,52:23
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Icebox,G2 Esports,11,6,5,,Sentinels,13,7,6,,54:31
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Ascent,G2 Esports,11,2,9,,Sentinels,13,3,10,,56:50
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,12,7,5,0,Evil Geniuses,14,7,5,2,1:17:07
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,KRÜ Esports,11,3,8,,Evil Geniuses,13,4,9,,56:08
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Haven,G2 Esports,13,8,5,,100 Thieves,4,0,4,,52:43
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Split,G2 Esports,12,6,6,0,100 Thieves,14,6,6,2,1:00:10
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Pearl,G2 Esports,16,6,6,4,100 Thieves,14,6,6,2,1:10:55
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Lotus,MIBR,7,3,4,,Sentinels,13,4,9,,1:27:20
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Split,MIBR,11,4,7,,Sentinels,13,5,8,,55:23
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,G2 Esports,9,8,1,,Evil Geniuses,13,9,4,,1:02:48
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Split,G2 Esports,13,8,5,,Evil Geniuses,7,3,4,,46:03
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,G2 Esports,13,5,8,,Evil Geniuses,11,4,7,,57:09
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Haven,MIBR,13,6,7,,G2 Esports,10,4,6,,1:07:02
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Lotus,MIBR,13,5,7,1,G2 Esports,15,5,7,3,1:05:11
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Split,MIBR,10,7,3,,G2 Esports,13,8,5,,56:00
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Ascent,MIBR,8,6,2,,G2 Esports,13,7,6,,44:37
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Haven,Sentinels,9,7,2,,G2 Esports,13,8,5,,1:04:24
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Split,Sentinels,9,6,3,,G2 Esports,13,7,6,,47:11
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Pearl,Sentinels,13,10,3,,G2 Esports,10,8,2,,55:28
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Ascent,Sentinels,10,7,3,,G2 Esports,13,8,5,,55:21
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Split,EDward Gaming,18,6,6,6,Team Liquid,16,6,6,4,1:35:46
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Pearl,EDward Gaming,13,7,6,,Team Liquid,6,1,5,,44:31
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,Lotus,DRX,13,9,4,,Sentinels,3,0,3,,45:20
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,Haven,DRX,13,6,7,,Sentinels,10,4,6,,50:13
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Fracture,Team Vitality,13,5,8,,T1,10,3,7,,1:02:22
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Bind,Team Vitality,13,7,6,,T1,9,4,5,,51:56
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Lotus,G2 Esports,13,7,6,,Trace Esports,8,3,5,,47:38
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Abyss,G2 Esports,13,9,4,,Trace Esports,3,0,3,,36:36
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Bind,DRX,8,4,4,,Team Vitality,13,5,8,,58:50
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Abyss,DRX,13,6,7,,Team Vitality,11,5,6,,51:55
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,DRX,11,6,5,,Team Vitality,13,7,6,,57:01
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Pearl,EDward Gaming,16,6,6,4,G2 Esports,18,6,6,6,1:21:52
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Bind,EDward Gaming,13,8,5,,G2 Esports,8,4,4,,43:40
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Fracture,EDward Gaming,13,11,2,,G2 Esports,4,3,1,,35:06
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,T1,13,9,4,,Trace Esports,3,0,3,,45:37
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Haven,T1,13,6,7,,Trace Esports,8,2,6,,42:04
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Lotus,Team Liquid,7,5,2,,Sentinels,13,6,7,,53:41
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Abyss,Team Liquid,16,7,5,4,Sentinels,14,7,5,2,1:02:50
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Bind,Team Liquid,13,11,2,,Sentinels,1,0,1,,30:20
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,Fracture,T1,13,5,8,,DRX,11,4,7,,1:04:03
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,Pearl,T1,13,8,5,,DRX,4,0,4,,39:01
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Haven,G2 Esports,13,8,5,,Team Liquid,5,1,4,,48:57
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Lotus,G2 Esports,13,6,7,,Team Liquid,7,1,6,,46:11
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,EDward Gaming,13,10,3,,T1,7,5,2,,55:34
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Bind,EDward Gaming,6,5,1,,T1,13,6,7,,43:41
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,EDward Gaming,13,6,7,,T1,11,5,6,,1:01:00
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Bind,Team Vitality,13,7,5,1,G2 Esports,15,7,5,3,1:13:06
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Lotus,Team Vitality,9,6,3,,G2 Esports,13,7,6,,54:57
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,EDward Gaming,8,5,3,,G2 Esports,13,6,7,,57:16
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Split,EDward Gaming,7,4,3,,G2 Esports,13,5,8,,41:45
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,T1,12,8,4,0,Team Vitality,14,8,4,2,1:09:37
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Haven,T1,13,8,5,,Team Vitality,4,0,4,,36:14
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,T1,13,9,4,,Team Vitality,5,2,3,,42:08
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Bind,EDward Gaming,4,3,1,,T1,13,4,9,,34:49
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Haven,EDward Gaming,10,8,2,,T1,13,9,4,,47:05
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Fracture,EDward Gaming,14,7,5,2,T1,12,7,5,0,53:33
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Split,EDward Gaming,5,5,0,,T1,13,6,7,,42:09
Valorant Masters Bangkok 2025,Showmatch,Main Event,Team International vs Team Thailand,Ascent,Team International,9,6,3,,Team Thailand,13,7,6,,
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Lotus,G2 Esports,13,8,5,,T1,5,1,4,,55:22
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Haven,G2 Esports,9,6,3,,T1,13,7,6,,52:45
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Abyss,G2 Esports,13,4,9,,T1,11,3,8,,47:08
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Split,G2 Esports,13,8,4,1,T1,15,8,4,3,1:04:07
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Pearl,G2 Esports,14,4,8,2,T1,16,4,8,4,1:11:01
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,BBL Esports,13,6,7,,GIANTX,9,3,6,,1:05:24
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,BBL Esports,12,5,7,0,GIANTX,14,5,7,2,1:02:21
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Pearl,BBL Esports,13,7,6,,GIANTX,5,0,5,,43:41
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Karmine Corp,10,7,3,,Natus Vincere,13,8,5,,1:09:50
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Bind,Karmine Corp,13,10,3,,Natus Vincere,2,0,2,,37:51
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,Karmine Corp,13,7,6,,Natus Vincere,6,1,5,,51:52
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,Team Liquid,10,5,5,,KOI,13,6,7,,58:08
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,Team Liquid,13,11,2,,KOI,3,2,1,,36:44
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,Team Liquid,13,6,7,,KOI,10,4,6,,52:51
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Apeks,7,6,1,,Gentle Mates,13,7,6,,51:40
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Apeks,12,3,9,0,Gentle Mates,14,3,9,2,55:55
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,FNATIC,8,3,5,,BBL Esports,13,4,9,,1:16:23
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,FNATIC,13,8,5,,BBL Esports,8,4,4,,1:02:29
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,FNATIC,10,9,1,,BBL Esports,13,10,3,,1:01:55
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,Team Vitality,13,8,5,,Karmine Corp,5,1,4,,50:28
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,Team Vitality,9,5,4,,Karmine Corp,13,6,7,,53:35
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,Team Vitality,17,7,5,5,Karmine Corp,15,7,5,3,1:17:32
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,FUT Esports,13,9,4,,Team Liquid,7,4,3,,56:58
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,FUT Esports,13,9,4,,Team Liquid,6,3,3,,42:06
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,Team Heretics,4,3,1,,Gentle Mates,13,4,9,,49:12
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Fracture,Team Heretics,13,11,2,,Gentle Mates,3,2,1,,33:21
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,Team Heretics,13,9,4,,Gentle Mates,8,5,3,,46:40
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Bind,Karmine Corp,14,7,5,2,GIANTX,12,7,5,0,1:19:57
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Lotus,Karmine Corp,8,5,3,,GIANTX,13,6,7,,44:40
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,Karmine Corp,10,4,6,,GIANTX,13,5,8,,51:41
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Pearl,FNATIC,13,9,4,,Natus Vincere,9,6,3,,1:05:22
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Fracture,FNATIC,8,6,2,,Natus Vincere,13,7,6,,53:16
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Haven,FNATIC,15,4,8,3,Natus Vincere,13,4,8,1,1:10:03
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Abyss,Team Liquid,13,6,7,,Apeks,9,3,6,,58:28
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Pearl,Team Liquid,11,3,8,,Apeks,13,4,9,,56:15
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Haven,Team Liquid,13,9,4,,Apeks,6,3,3,,37:23
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Haven,Gentle Mates,13,10,3,,KOI,3,1,2,,44:42
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,Gentle Mates,7,3,4,,KOI,13,4,9,,45:07
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,Gentle Mates,13,8,5,,KOI,6,2,4,,40:22
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Pearl,BBL Esports,11,7,4,,Team Heretics,13,8,5,,1:15:19
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Lotus,BBL Esports,7,4,3,,Team Heretics,13,5,8,,44:49
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,FUT Esports,7,3,4,,Team Vitality,13,4,9,,1:01:52
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Split,FUT Esports,4,1,3,,Team Vitality,13,2,11,,36:12
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Abyss,Gentle Mates,5,1,4,,FNATIC,13,2,11,,56:58
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Fracture,Gentle Mates,6,5,1,,FNATIC,13,6,7,,44:41
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Fracture,GIANTX,8,4,4,,Team Liquid,13,5,8,,51:00
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Split,GIANTX,6,4,2,,Team Liquid,13,5,8,,44:07
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Abyss,FUT Esports,13,5,8,,FNATIC,10,3,7,,1:10:32
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Fracture,FUT Esports,13,6,7,,FNATIC,6,0,6,,42:58
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Bind,BBL Esports,11,4,7,,Team Liquid,13,5,8,,1:02:57
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Pearl,BBL Esports,13,9,4,,Team Liquid,9,6,3,,56:12
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Split,BBL Esports,10,6,4,,Team Liquid,13,7,6,,47:17
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Haven,Team Vitality,13,8,5,,Team Heretics,10,6,4,,1:05:29
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Abyss,Team Vitality,13,11,2,,Team Heretics,1,0,1,,35:16
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,FUT Esports,7,4,3,,Team Liquid,13,5,8,,1:06:22
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Bind,FUT Esports,13,7,6,,Team Liquid,11,6,5,,55:54
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Haven,FUT Esports,4,4,0,,Team Liquid,13,5,8,,39:18
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Lotus,Team Heretics,4,3,1,,Team Liquid,13,4,9,,51:17
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Abyss,Team Heretics,4,4,0,,Team Liquid,13,5,8,,38:19
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Fracture,Team Heretics,7,4,3,,Team Liquid,13,5,8,,41:51
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Split,Team Vitality,10,3,7,,Team Liquid,13,4,9,,1:16:50
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,Team Vitality,7,3,4,,Team Liquid,13,4,9,,44:42
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,Team Vitality,13,10,3,,Team Liquid,6,4,2,,40:16
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Bind,Team Vitality,13,7,6,,Team Liquid,7,2,5,,46:10
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,Team Vitality,13,8,5,,Team Liquid,8,4,4,,48:14
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Pearl,BOOM Esports,11,7,4,,T1,13,8,5,,1:19:42
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Bind,BOOM Esports,13,9,4,,T1,8,5,3,,45:08
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Fracture,BOOM Esports,7,5,2,,T1,13,6,7,,39:44
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Split,ZETA DIVISION,9,7,2,,Nongshim RedForce,13,8,5,,53:44
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Haven,ZETA DIVISION,9,4,5,,Nongshim RedForce,13,5,8,,43:54
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Abyss,Global Esports,3,3,0,,Team Secret,13,4,9,,51:17
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Split,Global Esports,13,8,5,,Team Secret,7,3,4,,45:52
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Pearl,Global Esports,13,8,5,,Team Secret,6,2,4,,48:22
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Abyss,DetonatioN FocusMe,14,6,6,2,Rex Regum Qeon,12,6,6,0,1:15:45
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Pearl,DetonatioN FocusMe,3,1,2,,Rex Regum Qeon,13,2,11,,35:42
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Haven,DetonatioN FocusMe,3,2,1,,Rex Regum Qeon,13,3,10,,37:48
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Lotus,DRX,13,7,6,,Nongshim RedForce,11,6,5,,1:11:24
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Pearl,DRX,6,4,2,,Nongshim RedForce,13,5,8,,45:26
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,DRX,13,6,7,,Nongshim RedForce,9,3,6,,48:44
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Bind,Paper Rex,6,3,3,,T1,13,4,9,,43:53
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Fracture,Paper Rex,13,5,8,,T1,8,1,7,,42:18
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Split,Paper Rex,11,5,6,,T1,13,6,7,,53:11
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Split,TALON,6,2,4,,Global Esports,13,3,10,,54:35
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Abyss,TALON,13,6,7,,Global Esports,9,3,6,,51:05
